Concept or Technology,Category,Description,Mathematical Representation,Key Properties or Function,Source
Qubit,Fundamental Concept,The basic unit of quantum information and the fundamental building block of quantum computers.,$\lvert \psi \rangle = \alpha \lvert 0 \rangle + \beta \lvert 1 \rangle$,"Allows information to exist in state 0, 1, or a superposition of both states simultaneously.",1-3
Dirac notation (Bra-Ket),Notation,A compact mathematical notation used to express quantum mechanical states and operations.,"$\langle \psi \rvert$  (Bra),  $\lvert \psi \rangle$  (Ket)",Used to differentiate quantum states from classical bits and represent vectors in Hilbert space.,4-6
Willow Chip,Hardware,Google's state-of-the-art AI quantum chip designed for high-performance computation.,Not in source,Solves quantum error correction challenges and performs benchmark computations in under five minutes.,"2, 7"
Qiskit,Programming Language,An open-source software development kit (SDK) for working with quantum computers via Python.,Not in source,"Enables developers to design, simulate, and run quantum circuits on real quantum hardware or simulators.",8-10
Hadamard Gate,Gate,A single-qubit quantum logic gate that creates superposition.,$H = \frac{1}{\sqrt{2}} \begin{bmatrix} 1 & 1 \\ 1 & -1 \end{bmatrix}$,Transforms a qubit from a definite basis state into a uniform superposition state.,"1, 3, 11"
CNOT Gate,Gate,A multi-qubit controlled gate that acts on a control qubit and a target qubit.,$4 \times 4$  unitary matrix,Flips the target qubit state if the control is  $\lvert 1 \rangle$ ; fundamental for creating entanglement.,"3, 12"
Pauli-X Gate,Gate,"A single-qubit quantum logic gate, also known as the quantum NOT gate.",$X = \begin{bmatrix} 0 & 1 \\ 1 & 0 \end{bmatrix}$,"Performs a bit flip operation, reversing  $\lvert 0 \rangle$  to  $\lvert 1 \rangle$  and vice versa.","4, 11"
Identity Gate,Gate,A quantum gate that leaves the qubit state unchanged.,$I = \begin{bmatrix} 1 & 0 \\ 0 & 1 \end{bmatrix}$,Preserves the state of a qubit during a clock cycle or operation sequence.,11
Haskell,Programming Language,A functional programming language used for high-level quantum abstraction.,Not in source,Acts as an 'architect' to sketch quantum algorithms and formally verify quantum logic.,7
C++,Programming Language,A high-performance programming language for low-level resource management.,Not in source,"Acts as the 'builder' to execute algorithms, optimising gates and fine-tuning qubits for performance.",7
Superconducting Qubits,Hardware,Qubits based on superconducting circuits where current flows without resistance.,Not in source,Uses current direction to indicate state; utilised in hardware developed by IBM and Google.,6
Trapped Ion Qubits,Hardware,Individual ions trapped and isolated using electromagnetic fields.,Not in source,Manipulated using lasers or microwave radiation to represent states via internal energy levels.,6
