Protection Measure,Initial Cost (R$),Annual Maintenance (R$),"Equipment Replacement (25yr, R$)","Avoided Damage Value (Annual, R$)",Risk Reduction Factor,25-Year NPV (r=8%)(R$),Payback Period (years),Protection Level Achieved,Recommended For
External SPDA (Level III),"180,000","3,000","30,000","28,000",0.90,"185,000",6.4,III,Educational buildings
External SPDA (Level II),"250,000","3,500","35,000","35,000",0.95,"355,000",7.1,II,"Hospitals, Critical"
External SPDA (Level I),"350,000","4,000","40,000","45,000",0.98,"625,000",7.8,I,Strategic facilities
Type 1 SPD Installation,"45,000","2,000","45,000","12,000",0.70,"-95,000",>25,Basic,Basic protection
Type 1 + Type 2 SPD System,"95,000","3,000","70,000","22,000",0.85,"185,000",4.3,Moderate,Office buildings
Complete SPD Cascade (3-Stage),"150,000","4,500","120,000","35,000",0.95,"520,000",4.3,High,Data centers
"Grounding Upgrade (8 rods, 30m rings)","65,000","1,500","15,000","5,000",0.40,"-155,000",>25,Low,High resistivity areas
"Soil Resistivity Treatment (2,000 m²)","85,000",500,"20,000","2,000",0.20,"-185,000",>25,Low,Clay/wetland areas
Structural Bonding & Equipotential,"55,000","1,000","10,000","8,000",0.50,"-85,000",>25,Moderate,All structures
LPZ Implementation (Full),"200,000","5,000","80,000","40,000",0.98,"450,000",5.0,Very High,High-risk areas
Smart Monitoring System,"120,000","2,500","180,000","15,000",0.60,"95,000",8.0,Moderate,Critical facilities
Combination: SPDA + SPD + Monitoring,"900,000","15,000","400,000","80,000",0.99,"920,000",11.3,Very High,Premium protection
